date,academic,cfp,funding,misc,personal,research,service-external,service-internal,system,teaching,twitter
2001-12-31,0,0,0,0,0,5,0,0,0,0,0
2003-04-12,0,0,0,0,0,1,0,0,0,0,0
2003-05-16,0,0,0,0,0,1,0,0,0,0,0
2004-05-26,0,0,3,0,0,0,0,0,0,0,0
2004-05-28,2,0,1,0,0,0,0,0,0,0,0
2004-05-29,2,0,0,0,0,0,0,0,0,0,0
2004-06-01,4,0,0,0,0,0,0,0,0,0,0
2004-06-02,1,0,2,0,0,0,0,0,0,0,0
2004-06-03,7,0,0,0,0,7,0,0,0,0,0
2004-06-04,4,0,1,0,0,8,0,0,0,0,0
2004-06-06,3,0,0,0,0,2,0,0,0,0,0
2004-06-07,5,0,3,0,0,1,0,0,0,0,0
2004-06-08,1,0,2,0,0,0,0,0,0,0,0
2004-06-09,0,0,2,0,0,0,0,0,0,0,0
2004-06-10,2,0,2,0,0,1,0,0,0,0,0
2004-06-11,3,0,0,0,0,0,0,0,0,0,0
2004-06-12,3,0,0,0,0,2,0,0,0,0,0
2004-06-14,3,0,2,0,0,5,0,0,0,0,0
2004-06-15,7,0,2,0,0,1,0,0,0,0,0
2004-06-16,0,0,0,0,0,7,0,0,0,0,0
2004-06-17,1,0,2,1,0,0,0,0,0,0,0
2004-06-18,0,0,2,0,0,3,0,0,0,0,0
2004-06-19,1,0,0,0,0,0,0,0,0,0,0
2004-06-20,2,0,4,0,0,12,0,0,0,0,0
2004-06-21,3,0,2,0,0,8,0,0,0,0,0
2004-06-23,2,0,2,0,0,4,0,0,0,0,0
2004-06-24,2,0,0,0,0,1,0,0,0,0,0
2004-06-25,1,0,1,0,0,2,0,0,0,0,0
2004-06-26,1,0,1,0,0,0,0,0,0,0,0
2004-06-27,5,0,0,0,0,1,0,0,0,0,0
2004-06-28,5,0,0,0,0,1,0,0,0,0,0
2004-06-29,12,0,7,0,0,1,0,0,0,1,0
2004-06-30,4,0,1,0,0,2,0,0,0,0,0
2004-07-01,1,0,0,0,0,1,0,0,0,0,0
2004-07-02,1,0,1,0,0,1,0,0,0,6,0
2004-07-03,0,0,0,0,0,4,0,0,0,0,0
2004-07-04,0,0,0,0,0,1,0,0,0,0,0
2004-07-05,0,0,0,0,0,4,0,0,0,0,0
2004-07-06,0,0,3,0,0,1,0,0,0,0,0
2004-07-07,0,0,4,0,0,5,0,0,0,0,0
2004-07-08,4,0,0,0,0,7,0,0,0,0,0
2004-07-09,1,0,3,0,0,2,0,0,0,0,0
2004-07-10,0,0,3,0,0,0,0,0,0,0,0
2004-07-11,0,0,0,0,0,2,0,0,0,0,0
2004-07-12,4,0,2,0,0,1,0,0,0,0,0
2004-07-13,4,0,0,0,0,1,0,0,0,0,0
2004-07-14,2,0,0,0,0,1,0,0,0,0,0
2004-07-15,11,0,0,0,0,2,0,0,0,1,0
2004-07-16,3,0,0,0,0,8,0,0,0,0,0
2004-07-17,0,0,0,0,0,2,0,0,0,0,0
2004-07-18,1,0,0,0,0,5,0,0,0,0,0
2004-07-19,3,0,0,0,0,1,0,0,0,0,0
2004-07-20,9,0,1,0,0,3,0,0,0,0,0
2004-07-21,0,0,0,0,0,0,0,0,0,2,0
2004-07-22,5,0,0,0,1,2,0,0,0,0,0
2004-07-23,1,0,0,0,0,2,0,0,0,0,0
2004-07-26,2,0,0,0,0,0,0,0,0,0,0
2004-07-27,1,0,0,0,0,0,0,0,0,0,0
2004-07-28,7,0,0,0,0,0,0,0,0,0,0
2004-07-29,3,0,0,0,0,1,0,0,0,0,0
2004-07-30,4,0,0,0,0,0,0,0,0,0,0
2004-08-03,5,0,0,0,0,3,0,0,0,0,0
2004-08-04,3,0,0,0,0,0,0,0,0,1,0
2004-08-05,5,0,0,0,0,0,0,0,0,0,0
2004-08-06,3,0,0,0,0,0,0,0,0,0,0
2004-08-08,2,0,0,0,0,0,0,0,0,0,0
2004-08-09,3,0,0,0,0,0,0,0,0,2,0
2004-08-10,5,0,2,0,0,1,0,0,0,2,0
2004-08-11,2,0,0,0,0,1,0,0,0,0,0
2004-08-12,10,0,7,1,0,0,0,0,0,4,0
2004-08-13,4,0,8,0,0,0,0,0,0,0,0
2004-08-14,1,0,1,0,0,0,0,0,0,0,0
2004-08-15,1,0,0,0,1,12,0,0,0,0,0
2004-08-16,1,0,15,0,1,2,0,0,0,0,0
2004-08-17,3,0,16,0,0,0,0,0,0,0,0
2004-08-18,3,0,18,1,0,1,0,0,0,3,0
2004-08-19,0,0,28,0,4,1,0,0,0,0,0
2004-08-20,1,0,9,0,0,0,0,0,0,1,0
2004-08-21,1,0,0,0,0,0,0,0,0,0,0
2004-08-22,0,0,5,0,0,1,0,0,0,2,0
2004-08-23,5,0,13,0,0,7,0,0,0,0,0
2004-08-24,3,0,4,0,0,3,0,0,0,3,0
2004-08-25,15,0,1,0,0,0,0,0,0,9,0
2004-08-26,8,0,3,0,1,0,0,0,0,8,0
2004-08-27,2,0,0,0,5,0,0,0,0,19,0
2004-08-28,3,0,1,0,3,0,0,0,0,5,0
2004-08-29,0,0,0,0,0,0,0,0,0,4,0
2004-08-30,3,0,1,0,0,1,0,0,0,6,0
2004-08-31,1,0,0,1,0,1,0,0,0,0,0
2004-09-01,5,0,3,2,1,10,0,0,0,3,0
2004-09-02,5,0,1,0,1,4,0,0,0,3,0
2004-09-03,0,0,2,0,2,3,0,0,0,0,0
2004-09-04,1,0,1,0,0,3,0,0,0,0,0
2004-09-05,1,0,0,0,2,4,0,0,0,5,0
2004-09-06,1,0,10,0,3,8,0,0,0,2,0
2004-09-07,2,0,1,0,1,3,0,0,0,2,0
2004-09-08,0,0,2,0,1,7,0,0,0,2,0
2004-09-09,2,0,5,1,1,8,0,0,0,10,0
2004-09-10,17,0,5,3,5,5,0,0,0,21,0
2004-09-11,3,0,1,0,0,2,0,0,0,11,0
2004-09-12,3,0,2,0,0,2,0,0,0,11,0
2004-09-13,5,0,10,2,0,7,0,0,0,29,0
2004-09-14,2,0,0,0,1,1,0,0,0,19,0
2004-09-15,3,0,4,0,0,5,0,0,0,25,0
2004-09-16,8,0,0,1,0,5,0,0,0,18,0
2004-09-17,8,0,13,1,0,11,0,0,0,17,0
2004-09-18,0,0,0,0,2,0,0,0,0,4,0
2004-09-19,5,0,1,0,3,1,0,0,0,5,0
2004-09-20,17,0,8,0,3,16,0,0,0,11,0
2004-09-21,5,0,7,0,3,12,0,0,0,7,0
2004-09-22,5,0,3,0,7,13,0,0,0,4,0
2004-09-23,10,0,1,0,2,15,0,0,0,2,0
2004-09-24,12,0,3,1,4,5,0,0,0,5,0
2004-09-25,4,0,0,0,0,1,0,0,0,1,0
2004-09-26,3,0,1,0,2,2,0,0,0,5,0
2004-09-27,12,0,6,0,2,8,0,0,0,4,0
2004-09-28,3,0,2,2,1,3,0,0,0,6,0
2004-09-29,5,0,0,0,1,4,0,0,0,10,0
2004-09-30,3,0,5,1,4,6,0,0,0,6,0
2004-10-01,14,0,8,0,0,11,0,0,0,3,0
2004-10-02,2,0,1,0,0,1,0,0,0,1,0
2004-10-03,9,0,3,4,0,5,0,0,0,1,0
2004-10-04,8,0,5,3,1,14,0,0,0,20,0
2004-10-05,8,0,1,0,5,4,0,0,0,6,0
2004-10-06,7,0,12,0,0,3,0,0,0,6,0
2004-10-07,0,0,2,0,0,2,0,0,0,10,0
2004-10-08,4,0,0,0,0,4,0,0,0,8,0
2004-10-09,0,0,0,0,0,1,0,0,0,1,0
2004-10-10,0,0,2,0,1,1,0,0,0,2,0
2004-10-11,0,0,12,1,4,0,0,0,0,6,0
2004-10-12,5,3,37,1,8,5,0,0,0,2,0
2004-10-13,5,0,23,0,2,8,0,0,0,6,0
2004-10-14,7,0,0,0,0,13,0,0,0,3,0
2004-10-15,2,0,0,0,1,5,0,0,0,0,0
2004-10-16,2,0,0,3,0,4,0,0,0,0,0
2004-10-17,3,0,1,0,3,10,0,0,0,1,0
2004-10-18,10,0,1,0,5,10,0,0,0,10,0
2004-10-19,15,0,1,0,7,15,0,0,0,7,0
2004-10-20,13,0,1,0,7,14,0,0,0,13,0
2004-10-21,9,0,4,2,0,8,0,0,0,10,0
2004-10-22,9,2,7,0,5,12,0,0,0,2,0
2004-10-23,2,0,0,0,0,2,0,0,0,0,0
2004-10-24,1,0,0,0,2,7,0,0,0,1,0
2004-10-25,2,0,1,0,4,14,0,0,0,10,0
2004-10-26,10,0,0,6,5,7,0,0,0,3,0
2004-10-27,13,0,2,7,1,4,0,0,0,2,0
2004-10-28,5,2,1,1,5,4,0,0,0,2,0
2004-10-29,7,0,3,0,0,0,0,0,0,1,0
2004-10-30,1,0,1,0,0,0,0,0,0,0,0
2004-10-31,0,0,0,0,0,1,0,0,0,0,0
2004-11-01,7,0,6,0,2,3,0,0,0,4,0
2004-11-02,10,0,5,1,3,3,0,0,0,13,0
2004-11-03,4,3,1,2,0,6,0,0,0,10,0
2004-11-04,10,2,4,3,2,6,0,0,0,6,0
2004-11-05,1,2,7,0,0,3,0,0,0,4,0
2004-11-06,0,0,5,0,0,2,0,0,0,1,0
2004-11-07,0,1,3,0,2,2,0,0,0,4,0
2004-11-08,14,0,19,0,6,10,0,0,0,13,0
2004-11-09,4,0,5,0,1,8,0,0,0,3,0
2004-11-10,3,0,3,0,7,3,0,0,0,0,0
2004-11-11,6,0,1,0,2,5,0,0,0,4,0
2004-11-12,10,0,6,0,3,6,0,0,0,5,0
2004-11-13,6,0,0,0,0,1,0,0,0,0,0
2004-11-14,5,0,3,0,0,3,0,0,0,1,0
2004-11-15,5,3,15,0,3,11,0,0,0,20,0
2004-11-16,3,0,7,0,0,4,0,0,0,7,0
2004-11-17,9,0,3,0,3,5,0,0,0,3,0
2004-11-18,7,0,0,0,9,1,0,0,0,10,0
2004-11-19,6,0,2,0,0,2,0,0,0,4,0
